invoice_id,po_id,vendor_id,invoice_date,due_date,amount,currency,status,payment_terms_days,paid_date
INV-000166,PO-00203,VEND-00172,2025-01-02,2025-02-16,500,USD,Overdue,45,
INV-000167,PO-00204,VEND-00094,2025-11-08,2025-12-08,7200,USD,Paid,30,2025-12-07
INV-000168,PO-00206,VEND-00200,2024-02-27,2024-03-28,1900.0,USD,Paid,30,2024-03-28
INV-000169,PO-00207,VEND-00025,2024-10-13,2024-11-12,15500,USD,Paid,30,2024-11-03
INV-000170,PO-00208,VEND-00158,2024-06-01,2024-07-01,102000,USD,Paid,30,2024-06-19
INV-000171,PO-00209,VEND-00116,2023-02-16,2023-04-17,5500,USD,Paid,60,2023-04-15
INV-000172,PO-00210,VEND-00118,2023-09-22,2023-11-21,1700,USD,Paid,60,2023-11-15
INV-000173,PO-00212,VEND-00173,2024-03-10,2024-04-24,705000,USD,Paid,45,2024-04-23
INV-000174,PO-00213,VEND-00038,2023-11-11,2023-12-26,76000,USD,Paid,45,2023-12-16
INV-000175,PO-00214,VEND-00063,2024-01-29,2024-03-14,82500.0,USD,Paid,45,2024-03-03
INV-000176,PO-00215,VEND-00108,2023-07-28,2023-09-26,12900.0,USD,Paid,60,2023-09-25
INV-000177,PO-00217,VEND-00007,2025-09-29,2025-10-29,49500,USD,Paid,30,2025-10-18
INV-000178,PO-00219,VEND-00073,2025-01-08,2025-02-22,1800,USD,Paid,45,2025-02-11
INV-000179,PO-00220,VEND-00075,2026-04-18,2026-06-17,765000,USD,Paid,60,2026-06-10
INV-000180,PO-00222,VEND-00033,2025-03-17,2025-05-16,1380.0,USD,Paid,60,2025-05-11
INV-000181,PO-00223,VEND-00155,2025-04-09,2025-05-24,28000,USD,Paid,45,2025-05-22
INV-000182,PO-00224,VEND-00125,2024-01-14,2024-03-14,20000,USD,Paid,60,2024-03-03
INV-000183,PO-00225,VEND-00058,2023-05-20,2023-07-04,1200,USD,Paid,45,2023-06-25
INV-000184,PO-00227,VEND-00185,2023-04-24,2023-06-08,2000,USD,Paid,45,2023-06-08
INV-000185,PO-00228,VEND-00068,2024-01-18,2024-03-18,895000,USD,Paid,60,2024-03-13
INV-000186,PO-00229,VEND-00104,2025-12-02,2026-01-01,7500,USD,Paid,30,2025-12-26
INV-000187,PO-00230,VEND-00113,2025-04-14,2025-05-29,4000,USD,Paid,45,2025-05-23
INV-000188,PO-00232,VEND-00142,2023-05-03,2023-06-02,26500,USD,Paid,30,2023-06-01
INV-000189,PO-00233,VEND-00084,2025-11-06,2026-01-05,1200,USD,Paid,60,2025-12-24
INV-000190,PO-00234,VEND-00098,2025-10-20,2025-12-19,5600,USD,Paid,60,2025-12-15
INV-000191,PO-00236,VEND-00136,2024-03-18,2024-05-17,50000,USD,Paid,60,2024-05-13
INV-000192,PO-00237,VEND-00022,2023-03-29,2023-05-28,26700.0,USD,Disputed,60,
INV-000193,PO-00238,VEND-00137,2025-10-14,2025-11-28,36500,USD,Paid,45,2025-11-17
INV-000194,PO-00239,VEND-00200,2025-02-09,2025-03-11,7300,USD,Paid,30,2025-03-09
INV-000195,PO-00240,VEND-00199,2026-04-02,2026-05-02,2130.0,USD,Paid,30,2026-05-01
INV-000196,PO-00241,VEND-00180,2024-06-28,2024-08-27,116000,USD,Paid,60,2024-08-26
INV-000197,PO-00242,VEND-00078,2024-06-07,2024-07-07,6400,USD,Paid,30,2024-06-25
INV-000198,PO-00243,VEND-00071,2023-04-16,2023-05-31,3600,USD,Paid,45,2023-05-30
INV-000199,PO-00244,VEND-00120,2026-01-13,2026-02-12,97000,USD,Paid,30,2026-02-02
INV-000200,PO-00245,VEND-00153,2024-09-10,2024-10-10,131600.0,USD,Paid,30,2024-09-28
INV-000201,PO-00246,VEND-00059,2023-12-19,2024-01-18,750.0,USD,Paid,30,2024-01-14
INV-000202,PO-00247,VEND-00148,2026-04-13,2026-06-12,20500,USD,Paid,60,2026-06-06
INV-000203,PO-00248,VEND-00107,2023-05-26,2023-06-25,2220.0,USD,Overdue,30,
INV-000204,PO-00249,VEND-00196,2024-10-03,2024-12-02,4100,USD,Paid,60,2024-11-23
INV-000205,PO-00250,VEND-00189,2026-03-31,2026-04-30,18000,USD,Pending,30,
INV-000206,PO-00251,VEND-00142,2026-03-10,2026-04-09,2650.0,USD,Paid,30,2026-04-05
INV-000207,PO-00252,VEND-00114,2026-04-06,2026-06-05,24000,USD,Pending,60,
INV-000208,PO-00253,VEND-00038,2023-10-17,2023-12-01,2300,USD,Paid,45,2023-12-01
INV-000209,PO-00254,VEND-00152,2023-12-09,2024-01-23,34000,USD,Paid,45,2024-01-14
INV-000210,PO-00255,VEND-00177,2023-07-22,2023-09-20,905000,USD,Paid,60,2023-09-14
INV-000211,PO-00256,VEND-00115,2025-05-26,2025-07-10,3650.0,USD,Paid,45,2025-06-30
INV-000212,PO-00257,VEND-00167,2024-02-12,2024-03-13,1400,USD,Paid,30,2024-03-06
INV-000213,PO-00258,VEND-00049,2025-08-17,2025-10-01,3900,USD,Disputed,45,
INV-000214,PO-00260,VEND-00140,2025-05-22,2025-07-21,1500,USD,Paid,60,2025-07-15
INV-000215,PO-00261,VEND-00077,2025-09-20,2025-11-04,3400,USD,Paid,45,2025-10-25
INV-000216,PO-00263,VEND-00163,2024-04-13,2024-05-28,485000,USD,Paid,45,2024-05-22
INV-000217,PO-00265,VEND-00021,2024-07-30,2024-09-28,3900,USD,Paid,60,2024-09-19
INV-000218,PO-00266,VEND-00174,2023-04-30,2023-05-30,6800,USD,Paid,30,2023-05-20
INV-000219,PO-00268,VEND-00138,2025-11-14,2025-12-29,40500,USD,Paid,45,2025-12-23
INV-000220,PO-00270,VEND-00100,2024-06-08,2024-08-07,1700,USD,Paid,60,2024-08-07
INV-000221,PO-00271,VEND-00044,2025-12-10,2026-01-24,98000,USD,Overdue,45,
INV-000222,PO-00272,VEND-00103,2023-08-16,2023-09-30,169000,USD,Paid,45,2023-09-21
INV-000223,PO-00273,VEND-00041,2024-05-21,2024-07-05,5100,USD,Paid,45,2024-06-23
INV-000224,PO-00277,VEND-00032,2023-02-24,2023-03-26,7500.0,USD,Paid,30,2023-03-14
INV-000225,PO-00278,VEND-00157,2024-03-08,2024-05-07,1300,USD,Paid,60,2024-05-03
INV-000226,PO-00279,VEND-00076,2023-08-02,2023-10-01,5300,USD,Paid,60,2023-09-20
INV-000227,PO-00280,VEND-00033,2025-05-02,2025-07-01,1100,USD,Paid,60,2025-06-23
INV-000228,PO-00281,VEND-00082,2023-06-04,2023-07-19,8000,USD,Paid,45,2023-07-09
INV-000229,PO-00282,VEND-00135,2023-11-25,2024-01-09,24500,USD,Paid,45,2024-01-02
INV-000230,PO-00284,VEND-00040,2025-06-09,2025-07-09,32900.0,USD,Paid,30,2025-06-27
INV-000231,PO-00286,VEND-00148,2025-12-05,2026-02-03,6100,USD,Paid,60,2026-01-28
INV-000232,PO-00287,VEND-00072,2025-07-31,2025-09-29,4600,USD,Paid,60,2025-09-22
INV-000233,PO-00290,VEND-00061,2026-04-13,2026-06-12,34000,USD,Paid,60,2026-06-09
INV-000234,PO-00291,VEND-00110,2023-09-05,2023-10-05,282000.0,USD,Paid,30,2023-09-27
INV-000235,PO-00292,VEND-00126,2025-10-02,2025-12-01,1300,USD,Paid,60,2025-11-25
INV-000236,PO-00293,VEND-00190,2025-09-03,2025-10-18,3100,USD,Paid,45,2025-10-10
INV-000237,PO-00294,VEND-00144,2024-11-27,2025-01-11,33500,USD,Paid,45,2024-12-31
INV-000238,PO-00295,VEND-00039,2025-02-08,2025-04-09,2500,USD,Disputed,60,
INV-000239,PO-00297,VEND-00180,2025-01-31,2025-04-01,27500,USD,Paid,60,2025-03-21
INV-000240,PO-00298,VEND-00020,2023-06-18,2023-08-17,7100,USD,Paid,60,2023-08-14
INV-000241,PO-00299,VEND-00122,2025-04-02,2025-06-01,34500,USD,Paid,60,2025-05-31
INV-000242,PO-00300,VEND-00077,2024-12-19,2025-02-02,13650.0,USD,Paid,45,2025-01-27
INV-000243,PO-00301,VEND-00114,2023-11-20,2024-01-19,3100.0,USD,Paid,60,2024-01-15
INV-000244,PO-00302,VEND-00043,2023-06-21,2023-08-20,3750.0,USD,Paid,60,2023-08-15
INV-000245,PO-00303,VEND-00175,2025-01-01,2025-02-15,10500,USD,Paid,45,2025-02-04
INV-000246,PO-00304,VEND-00088,2023-03-22,2023-04-21,900,USD,Paid,30,2023-04-21
INV-000247,PO-00305,VEND-00151,2023-11-09,2023-12-09,4000,USD,Paid,30,2023-12-04
INV-000248,PO-00307,VEND-00058,2023-02-18,2023-04-04,415000,USD,Paid,45,2023-03-23
INV-000249,PO-00308,VEND-00016,2023-05-17,2023-06-16,850.0,USD,Paid,30,2023-06-11
INV-000250,PO-00309,VEND-00042,2026-02-15,2026-03-17,5600,USD,Disputed,30,
INV-000251,PO-00310,VEND-00033,2025-03-28,2025-05-27,22250.0,USD,Overdue,60,
INV-000252,PO-00312,VEND-00058,2024-07-28,2024-09-11,48000.0,USD,Paid,45,2024-09-10
INV-000253,PO-00314,VEND-00108,2025-10-04,2025-12-03,3050.0,USD,Paid,60,2025-11-24
INV-000254,PO-00315,VEND-00194,2026-04-02,2026-06-01,6800,USD,Pending,60,
INV-000255,PO-00316,VEND-00154,2025-02-04,2025-04-05,8500,USD,Paid,60,2025-04-05
INV-000256,PO-00317,VEND-00013,2026-03-26,2026-04-25,12750.0,USD,Pending,30,
INV-000257,PO-00318,VEND-00045,2023-02-10,2023-04-11,800,USD,Paid,60,2023-04-09
INV-000258,PO-00319,VEND-00049,2025-02-07,2025-03-24,20000,USD,Paid,45,2025-03-17
INV-000259,PO-00320,VEND-00042,2023-06-16,2023-08-15,69600.0,USD,Paid,60,2023-08-09
INV-000260,PO-00321,VEND-00034,2024-05-22,2024-07-06,26500,USD,Overdue,45,
INV-000261,PO-00322,VEND-00154,2023-05-12,2023-07-11,960000,USD,Paid,60,2023-07-08
INV-000262,PO-00324,VEND-00033,2025-09-19,2025-11-18,61000,USD,Paid,60,2025-11-18
INV-000263,PO-00325,VEND-00053,2024-10-23,2024-12-07,5800,USD,Paid,45,2024-12-01
INV-000264,PO-00328,VEND-00116,2023-03-05,2023-05-04,1100,USD,Paid,60,2023-04-22
INV-000265,PO-00329,VEND-00091,2025-06-24,2025-08-23,390.0,USD,Paid,60,2025-08-15
INV-000266,PO-00330,VEND-00007,2025-10-25,2025-11-24,7300,USD,Paid,30,2025-11-20
INV-000267,PO-00332,VEND-00079,2025-01-04,2025-02-03,15250.0,USD,Paid,30,2025-01-26
INV-000268,PO-00334,VEND-00091,2023-07-16,2023-09-14,12000,USD,Paid,60,2023-09-05
INV-000269,PO-00335,VEND-00069,2024-06-05,2024-07-05,5500,USD,Paid,30,2024-07-05
