po_id,vendor_id,contract_id,department_id,po_date,line_description,total_amount,currency,status,requestor_name,approval_level
PO-00192,VEND-00072,CTR-0069,DEPT-016,2023-01-11,Landscaping,201000,USD,Cancelled,Hana Kobayashi,CFO
PO-00193,VEND-00083,,DEPT-008,2024-10-15,Monthly cloud consumption,3400,USD,Closed,Derek Yoon,Dept Head
PO-00194,VEND-00021,,DEPT-020,2025-06-23,Brand refresh SOW,29500,USD,Closed,Robin Park,VP
PO-00195,VEND-00077,,DEPT-010,2025-10-17,Specialist placement,34500,USD,Closed,Ingrid Voss,VP
PO-00196,VEND-00068,,DEPT-013,2026-01-06,Temp-to-hire fee,8000,USD,Received,Lena Brooks,Dept Head
PO-00197,VEND-00124,,DEPT-018,2023-03-29,Conference travel,2300,USD,Closed,Quinn Reyes,Dept Head
PO-00198,VEND-00100,,DEPT-018,2023-07-16,Compliance advisory,5000,USD,Received,Jamie Chen,Dept Head
PO-00199,VEND-00143,,DEPT-016,2023-03-17,Creative production,1900,USD,Closed,Marco Alvarez,Dept Head
PO-00200,VEND-00065,,DEPT-019,2025-04-01,Last-mile delivery,34000,USD,Received,Marco Alvarez,VP
PO-00201,VEND-00168,,DEPT-015,2024-07-18,Staff augmentation month,555000,USD,Received,Samira Okafor,CEO
PO-00202,VEND-00138,CTR-0053,DEPT-018,2024-02-04,Annual SKO travel,600,USD,Closed,Devon Parker,Dept Head
PO-00203,VEND-00172,,DEPT-005,2024-12-17,Networking gear,500,USD,Received,Lena Brooks,Dept Head
PO-00204,VEND-00094,CTR-0080,DEPT-014,2025-10-15,HVAC maintenance,7200,USD,Received,Derek Yoon,Dept Head
PO-00205,VEND-00120,,DEPT-001,2023-11-01,Ergonomics,29000,USD,Closed,Priya Raman,VP
PO-00206,VEND-00200,,DEPT-009,2024-01-24,Staff augmentation month,3800,USD,Closed,Quinn Reyes,Dept Head
PO-00207,VEND-00025,,DEPT-011,2024-10-10,Annual subscription renewal,15500,USD,Closed,Julia Hwang,VP
PO-00208,VEND-00158,,DEPT-019,2024-05-16,Warehousing month,102000,USD,Closed,Robin Park,CFO
PO-00209,VEND-00116,,DEPT-016,2023-02-02,HVAC maintenance,5500,USD,Closed,Hana Kobayashi,Dept Head
PO-00210,VEND-00118,,DEPT-008,2023-09-12,Conference travel,1700,USD,Closed,Quinn Reyes,Dept Head
PO-00211,VEND-00086,,DEPT-016,2023-09-30,Laptop refresh batch,1600,USD,Closed,Marco Alvarez,Dept Head
PO-00212,VEND-00173,CTR-0072,DEPT-016,2024-02-24,Quarterly office supplies replen,705000,USD,Closed,Hana Kobayashi,CEO
PO-00213,VEND-00038,,DEPT-016,2023-11-03,Events travel block,76000,USD,Closed,Luis Ortega,CFO
PO-00214,VEND-00063,CTR-0042,DEPT-003,2024-01-21,Breakroom supplies,275000,USD,Closed,Tomas Kellerman,CEO
PO-00215,VEND-00108,,DEPT-005,2023-07-08,Print consumables,43000,USD,Received,Jamie Chen,VP
PO-00216,VEND-00065,,DEPT-006,2024-11-06,Warehousing month,5600,USD,Received,Derek Yoon,Dept Head
PO-00217,VEND-00007,,DEPT-005,2025-08-25,Network installation,49500,USD,Open,Tomas Kellerman,VP
PO-00218,VEND-00068,,DEPT-014,2023-09-20,Temp-to-hire fee,11500,USD,Closed,Sasha Mwangi,VP
PO-00219,VEND-00073,,DEPT-013,2024-12-09,Egress overage,1800,USD,Open,Sasha Mwangi,Dept Head
PO-00220,VEND-00075,,DEPT-016,2026-04-10,Events travel block,765000,USD,Received,Robin Park,CEO
PO-00221,VEND-00054,,DEPT-006,2024-12-02,Last-mile delivery,105000,USD,Cancelled,Jamie Chen,CFO
PO-00222,VEND-00033,,DEPT-008,2025-02-15,IP counsel hours,4600,USD,Closed,Derek Yoon,Dept Head
PO-00223,VEND-00155,,DEPT-018,2025-03-27,Ergonomics,28000,USD,Closed,Julia Hwang,VP
PO-00224,VEND-00125,,DEPT-004,2023-12-01,Advisory engagement,20000,USD,Closed,Samira Okafor,VP
PO-00225,VEND-00058,,DEPT-003,2023-04-27,Advisory engagement,1200,USD,Closed,Claire Benoit,Dept Head
PO-00226,VEND-00151,,DEPT-006,2025-06-07,IP counsel hours,4800,USD,Received,Tomas Kellerman,Dept Head
PO-00227,VEND-00185,,DEPT-009,2023-04-11,Freight LTL lane,2000,USD,Received,Ingrid Voss,Dept Head
PO-00228,VEND-00068,,DEPT-019,2023-12-31,Temp-to-hire fee,895000,USD,Received,Aditi Shah,CEO
PO-00229,VEND-00104,,DEPT-004,2025-11-14,Egress overage,7500,USD,Received,Cesar Ruiz,Dept Head
PO-00230,VEND-00113,,DEPT-005,2025-04-04,Litigation retainer,4000,USD,Received,Naomi Weiss,Dept Head
PO-00231,VEND-00074,CTR-0024,DEPT-010,2025-05-12,Annual subscription renewal,7900,USD,Closed,Lena Brooks,Dept Head
PO-00232,VEND-00142,CTR-0044,DEPT-011,2023-04-12,Events travel block,26500,USD,Closed,Peter Chen,VP
